"TableInfos"
"9";"7";;"Topic";"PriceChanges_6";"Price changes";"The change of price compared to the same period a year earlier.";;"Float";"%";"1";"Missing"
"ConsumptionByHouseholds"
Key;Title;Description
"A047812";"Domestic consumption by households";"All consumption which takes place in the Netherlands including consumption of foreign residents in the Netherlands. Consumption by Dutch residents abroad is therefore not included."
"A047813";"Consumption of goods by households";"Consumption of goods by households and NPI households."
"A047875";"Foodproducts, beverages and tabacco";""
"A047825";"Durable consumer goods";""
"A047826";"Textiles and clothing";""
"A047827";"Leather goods and footwear";""
"A047828";"Home furnishing and home decoration";""
"A047829";"Electrical equipment";""
"A047830";"Vehicles";""
"A047831";"Other durable consumer goods n.e.c.";""
"A048214";"Other goods";""
"A047832";"Electricity, gas, water and motor fuels";""
"A048213";"Personal care and other goods";""
"A047837";"Consumption of services by households";"Consumption of services by households and NPI households."
"Periods"
Key;Title;Description;Status
"2000JJ00";"2000";"";"Definitief"
"2001JJ00";"2001";"";"Definitief"
"2002JJ00";"2002";"";"Definitief"
"2003JJ00";"2003";"";"Definitief"
"2004JJ00";"2004";"";"Definitief"
"2005JJ00";"2005";"";"Definitief"
"2006JJ00";"2006";"";"Definitief"
"2007JJ00";"2007";"";"Definitief"
"2008JJ00";"2008";"";"Definitief"
"2009JJ00";"2009";"";"Definitief"
"2010JJ00";"2010";"";"Definitief"
"2011JJ00";"2011";"";"Definitief"
"2012JJ00";"2012";"";"Definitief"
"2013JJ00";"2013";"";"Definitief"
"2014JJ00";"2014";"";"Definitief"
"2015JJ00";"2015";"";"Definitief"
"2016JJ00";"2016";"Provisional figures";"Voorlopig"
"2017JJ00";"2017";"Provisional figures";"Voorlopig"
"2018JJ00";"2018";"Provisional figures";"Voorlopig"
"2019JJ00";"2019";"Provisional figures";"Voorlopig"
"2000MM01";"2000 January";"";"Definitief"
"2000MM02";"2000 February";"";"Definitief"
"2000MM03";"2000 March";"";"Definitief"
"2000KW01";"2000 1st quarter";"";"Definitief"
"2000MM04";"2000 April";"";"Definitief"
"2000MM05";"2000 May";"";"Definitief"
"2000MM06";"2000 June";"";"Definitief"
"2000KW02";"2000 2nd quarter";"";"Definitief"
"2000MM07";"2000 July";"";"Definitief"
"2000MM08";"2000 August";"";"Definitief"
"2000MM09";"2000 September";"";"Definitief"
"2000KW03";"2000 3rd quarter";"";"Definitief"
"2000MM10";"2000 October";"";"Definitief"
"2000MM11";"2000 November";"";"Definitief"
"2000MM12";"2000 December";"";"Definitief"
"2000KW04";"2000 4th quarter";"";"Definitief"
"2001MM01";"2001 January";"";"Definitief"
"2001MM02";"2001 February";"";"Definitief"
"2001MM03";"2001 March";"";"Definitief"
"2001KW01";"2001 1st quarter";"";"Definitief"
"2001MM04";"2001 April";"";"Definitief"
"2001MM05";"2001 May";"";"Definitief"
"2001MM06";"2001 June";"";"Definitief"
"2001KW02";"2001 2nd quarter";"";"Definitief"
"2001MM07";"2001 July";"";"Definitief"
"2001MM08";"2001 August";"";"Definitief"
"2001MM09";"2001 September";"";"Definitief"
"2001KW03";"2001 3rd quarter";"";"Definitief"
"2001MM10";"2001 October";"";"Definitief"
"2001MM11";"2001 November";"";"Definitief"
"2001MM12";"2001 December";"";"Definitief"
"2001KW04";"2001 4th quarter";"";"Definitief"
"2002MM01";"2002 January";"";"Definitief"
"2002MM02";"2002 February";"";"Definitief"
"2002MM03";"2002 March";"";"Definitief"
"2002KW01";"2002 1st quarter";"";"Definitief"
"2002MM04";"2002 April";"";"Definitief"
"2002MM05";"2002 May";"";"Definitief"
"2002MM06";"2002 June";"";"Definitief"
"2002KW02";"2002 2nd quarter";"";"Definitief"
"2002MM07";"2002 July";"";"Definitief"
"2002MM08";"2002 August";"";"Definitief"
"2002MM09";"2002 September";"";"Definitief"
"2002KW03";"2002 3rd quarter";"";"Definitief"
"2002MM10";"2002 October";"";"Definitief"
"2002MM11";"2002 November";"";"Definitief"
"2002MM12";"2002 December";"";"Definitief"
"2002KW04";"2002 4th quarter";"";"Definitief"
"2003MM01";"2003 January";"";"Definitief"
"2003MM02";"2003 February";"";"Definitief"
"2003MM03";"2003 March";"";"Definitief"
"2003KW01";"2003 1st quarter";"";"Definitief"
"2003MM04";"2003 April";"";"Definitief"
"2003MM05";"2003 May";"";"Definitief"
"2003MM06";"2003 June";"";"Definitief"
"2003KW02";"2003 2nd quarter";"";"Definitief"
"2003MM07";"2003 July";"";"Definitief"
"2003MM08";"2003 August";"";"Definitief"
"2003MM09";"2003 September";"";"Definitief"
"2003KW03";"2003 3rd quarter";"";"Definitief"
"2003MM10";"2003 October";"";"Definitief"
"2003MM11";"2003 November";"";"Definitief"
"2003MM12";"2003 December";"";"Definitief"
"2003KW04";"2003 4th quarter";"";"Definitief"
"2004MM01";"2004 January";"";"Definitief"
"2004MM02";"2004 February";"";"Definitief"
"2004MM03";"2004 March";"";"Definitief"
"2004KW01";"2004 1st quarter";"";"Definitief"
"2004MM04";"2004 April";"";"Definitief"
"2004MM05";"2004 May";"";"Definitief"
"2004MM06";"2004 June";"";"Definitief"
"2004KW02";"2004 2nd quarter";"";"Definitief"
"2004MM07";"2004 July";"";"Definitief"
"2004MM08";"2004 August";"";"Definitief"
"2004MM09";"2004 September";"";"Definitief"
"2004KW03";"2004 3rd quarter";"";"Definitief"
"2004MM10";"2004 October";"";"Definitief"
"2004MM11";"2004 November";"";"Definitief"
"2004MM12";"2004 December";"";"Definitief"
"2004KW04";"2004 4th quarter";"";"Definitief"
"2005MM01";"2005 January";"";"Definitief"
"2005MM02";"2005 February";"";"Definitief"
"2005MM03";"2005 March";"";"Definitief"
"2005KW01";"2005 1st quarter";"";"Definitief"
"2005MM04";"2005 April";"";"Definitief"
"2005MM05";"2005 May";"";"Definitief"
"2005MM06";"2005 June";"";"Definitief"
"2005KW02";"2005 2nd quarter";"";"Definitief"
"2005MM07";"2005 July";"";"Definitief"
"2005MM08";"2005 August";"";"Definitief"
"2005MM09";"2005 September";"";"Definitief"
"2005KW03";"2005 3rd quarter";"";"Definitief"
"2005MM10";"2005 October";"";"Definitief"
"2005MM11";"2005 November";"";"Definitief"
"2005MM12";"2005 December";"";"Definitief"
"2005KW04";"2005 4th quarter";"";"Definitief"
"2006MM01";"2006 January";"";"Definitief"
"2006MM02";"2006 February";"";"Definitief"
"2006MM03";"2006 March";"";"Definitief"
"2006KW01";"2006 1st quarter";"";"Definitief"
"2006MM04";"2006 April";"";"Definitief"
"2006MM05";"2006 May";"";"Definitief"
"2006MM06";"2006 June";"";"Definitief"
"2006KW02";"2006 2nd quarter";"";"Definitief"
"2006MM07";"2006 July";"";"Definitief"
"2006MM08";"2006 August";"";"Definitief"
"2006MM09";"2006 September";"";"Definitief"
"2006KW03";"2006 3rd quarter";"";"Definitief"
"2006MM10";"2006 October";"";"Definitief"
"2006MM11";"2006 November";"";"Definitief"
"2006MM12";"2006 December";"";"Definitief"
"2006KW04";"2006 4th quarter";"";"Definitief"
"2007MM01";"2007 January";"";"Definitief"
"2007MM02";"2007 February";"";"Definitief"
"2007MM03";"2007 March";"";"Definitief"
"2007KW01";"2007 1st quarter";"";"Definitief"
"2007MM04";"2007 April";"";"Definitief"
"2007MM05";"2007 May";"";"Definitief"
"2007MM06";"2007 June";"";"Definitief"
"2007KW02";"2007 2nd quarter";"";"Definitief"
"2007MM07";"2007 July";"";"Definitief"
"2007MM08";"2007 August";"";"Definitief"
"2007MM09";"2007 September";"";"Definitief"
"2007KW03";"2007 3rd quarter";"";"Definitief"
"2007MM10";"2007 October";"";"Definitief"
"2007MM11";"2007 November";"";"Definitief"
"2007MM12";"2007 December";"";"Definitief"
"2007KW04";"2007 4th quarter";"";"Definitief"
"2008MM01";"2008 January";"";"Definitief"
"2008MM02";"2008 February";"";"Definitief"
"2008MM03";"2008 March";"";"Definitief"
"2008KW01";"2008 1st quarter";"";"Definitief"
"2008MM04";"2008 April";"";"Definitief"
"2008MM05";"2008 May";"";"Definitief"
"2008MM06";"2008 June";"";"Definitief"
"2008KW02";"2008 2nd quarter";"";"Definitief"
"2008MM07";"2008 July";"";"Definitief"
"2008MM08";"2008 August";"";"Definitief"
"2008MM09";"2008 September";"";"Definitief"
"2008KW03";"2008 3rd quarter";"";"Definitief"
"2008MM10";"2008 October";"";"Definitief"
"2008MM11";"2008 November";"";"Definitief"
"2008MM12";"2008 December";"";"Definitief"
"2008KW04";"2008 4th quarter";"";"Definitief"
"2009MM01";"2009 January";"";"Definitief"
"2009MM02";"2009 February";"";"Definitief"
"2009MM03";"2009 March";"";"Definitief"
"2009KW01";"2009 1st quarter";"";"Definitief"
"2009MM04";"2009 April";"";"Definitief"
"2009MM05";"2009 May";"";"Definitief"
"2009MM06";"2009 June";"";"Definitief"
"2009KW02";"2009 2nd quarter";"";"Definitief"
"2009MM07";"2009 July";"";"Definitief"
"2009MM08";"2009 August";"";"Definitief"
"2009MM09";"2009 September";"";"Definitief"
"2009KW03";"2009 3rd quarter";"";"Definitief"
"2009MM10";"2009 October";"";"Definitief"
"2009MM11";"2009 November";"";"Definitief"
"2009MM12";"2009 December";"";"Definitief"
"2009KW04";"2009 4th quarter";"";"Definitief"
"2010MM01";"2010 January";"";"Definitief"
"2010MM02";"2010 February";"";"Definitief"
"2010MM03";"2010 March";"";"Definitief"
"2010KW01";"2010 1st quarter";"";"Definitief"
"2010MM04";"2010 April";"";"Definitief"
"2010MM05";"2010 May";"";"Definitief"
"2010MM06";"2010 June";"";"Definitief"
"2010KW02";"2010 2nd quarter";"";"Definitief"
"2010MM07";"2010 July";"";"Definitief"
"2010MM08";"2010 August";"";"Definitief"
"2010MM09";"2010 September";"";"Definitief"
"2010KW03";"2010 3rd quarter";"";"Definitief"
"2010MM10";"2010 October";"";"Definitief"
"2010MM11";"2010 November";"";"Definitief"
"2010MM12";"2010 December";"";"Definitief"
"2010KW04";"2010 4th quarter";"";"Definitief"
"2011MM01";"2011 January";"";"Definitief"
"2011MM02";"2011 February";"";"Definitief"
"2011MM03";"2011 March";"";"Definitief"
"2011KW01";"2011 1st quarter";"";"Definitief"
"2011MM04";"2011 April";"";"Definitief"
"2011MM05";"2011 May";"";"Definitief"
"2011MM06";"2011 June";"";"Definitief"
"2011KW02";"2011 2nd quarter";"";"Definitief"
"2011MM07";"2011 July";"";"Definitief"
"2011MM08";"2011 August";"";"Definitief"
"2011MM09";"2011 September";"";"Definitief"
"2011KW03";"2011 3rd quarter";"";"Definitief"
"2011MM10";"2011 October";"";"Definitief"
"2011MM11";"2011 November";"";"Definitief"
"2011MM12";"2011 December";"";"Definitief"
"2011KW04";"2011 4th quarter";"";"Definitief"
"2012MM01";"2012 January";"";"Definitief"
"2012MM02";"2012 February";"";"Definitief"
"2012MM03";"2012 March";"";"Definitief"
"2012KW01";"2012 1st quarter";"";"Definitief"
"2012MM04";"2012 April";"";"Definitief"
